;genus;Latitude;Longitude;glc19SpId;Keep;code;eltoncode
0;Marasmius;46.864353;5.36027;2808;0.7;F_57;791
1;Marasmius;43.193;-1.357;2808;0.7;F_57;791
2;Marasmius;43.138;-1.309;2808;0.7;F_57;791
3;Marasmius;43.432447;-1.152801;2985;0.7;F_57;791
4;Marasmius;43.546;-1.508;3027;0.7;F_57;791
5;Marasmius;43.528;-1.484;2985;0.7;F_57;791
6;Marasmius;43.5;-1.472;2808;0.7;F_57;791
7;Marasmius;43.626;-1.444;3105;0.7;F_57;791
8;Marasmius;43.68;-1.431;2808;0.7;F_57;791
9;Marasmius;43.716;-1.43;2808;0.7;F_57;791
10;Marasmius;43.85;-1.389;2808;0.7;F_57;791
11;Marasmius;43.886;-1.363;2808;0.7;F_57;791
12;Marasmius;43.958;-1.361;2808;0.7;F_57;791
13;Marasmius;43.903;-1.313;2808;0.7;F_57;791
14;Marasmius;44.07;-1.046;2808;0.7;F_57;791
15;Marasmius;42.78647;-0.559167;3239;0.7;F_57;791
16;Marasmius;42.880191;-0.403743;3249;0.7;F_57;791
17;Marasmius;49.46;6.09;2808;0.7;F_57;791
18;Marasmius;45.06759;5.85943;3516;0.7;F_57;791
24;Marasmius;42.98894;-0.12469;2808;0.7;F_57;791
25;Marasmius;42.8223;0.37321;3249;0.7;F_57;791
28;Marasmius;42.98155;-0.36948;2985;0.7;F_57;791
30;Marasmius;42.8878;-0.48644;3744;0.7;F_57;791
34;Marasmius;42.98531;-0.24709;2985;0.7;F_57;791
38;Marasmius;42.90256;0.00238;3529;0.7;F_57;791
41;Marasmius;42.88376;-0.6086;2985;0.7;F_57;791
45;Marasmius;43.06749;-0.49727;3249;0.7;F_57;791
47;Marasmius;43.06344;-0.61981;2985;0.7;F_57;791
50;Marasmius;42.91218;0.36914;3744;0.7;F_57;791
69;Marasmius;42.89546;-0.24206;2808;0.7;F_57;791
75;Marasmius;46.37657;-1.23031;2808;0.7;F_57;791
76;Marasmius;49.01018;-0.6236;2985;0.7;F_57;791
77;Marasmius;49.29135;-0.23064;3239;0.7;F_57;791
79;Marasmius;46.46648;-1.23728;2808;0.7;F_57;791
80;Marasmius;42.9335;1.47006;4738;0.7;F_57;791
81;Marasmius;47.82748;-3.0871;4738;0.7;F_57;791
82;Marasmius;44.75327;-1.23469;2808;0.7;F_57;791
83;Marasmius;48.53805;-3.30561;4887;0.7;F_57;791
85;Marasmius;50.85401;1.65352;2808;0.7;F_57;791
86;Marasmius;47.22716;0.02574;3744;0.7;F_57;791
87;Marasmius;43.26543;0.10669;4738;0.7;F_57;791
89;Marasmius;43.02802;1.83538;5018;0.7;F_57;791
90;Marasmius;43.01965;1.22259;5026;0.7;F_57;791
91;Marasmius;49.24677;-1.60273;2808;0.7;F_57;791
93;Marasmius;48.29659;-4.35941;2985;0.7;F_57;791
94;Marasmius;48.79973;-3.4739;4738;0.7;F_57;791
96;Marasmius;48.79229;-3.60956;3105;0.7;F_57;791
97;Marasmius;48.56497;-0.45712;2985;0.7;F_57;791
100;Marasmius;46.38591;-0.97043;2985;0.7;F_57;791
101;Marasmius;43.08887;0.23832;4738;0.7;F_57;791
102;Marasmius;48.30488;-4.22513;4738;0.7;F_57;791
104;Marasmius;42.90911;0.24687;3605;0.7;F_57;791
107;Marasmius;47.39619;-0.38169;2985;0.7;F_57;791
108;Marasmius;48.20661;-2.72593;4738;0.7;F_57;791
109;Marasmius;43.08566;0.11568;4738;0.7;F_57;791
112;Marasmius;48.87701;-1.84317;2808;0.7;F_57;791
114;Marasmius;46.54084;3.97872;2808;0.7;F_57;791
115;Marasmius;42.93169;1.3477;4738;0.7;F_57;791
121;Marasmius;48.11555;-0.42771;2808;0.7;F_57;791
123;Marasmius;48.53079;-3.44062;4738;0.7;F_57;791
126;Marasmius;43.02928;1.95795;5018;0.7;F_57;791
127;Marasmius;49.18122;-0.9101799999999999;2985;0.7;F_57;791
128;Marasmius;48.29659;-4.35941;4738;0.7;F_57;791
129;Marasmius;48.53805;-3.3056099999999997;3105;0.7;F_57;791
130;Marasmius;46.312870000000004;6.44476;2808;0.7;F_57;791
131;Marasmius;45.346709999999995;5.49046;2808;0.7;F_57;791
132;Marasmius;45.95302;6.42224;2808;0.7;F_57;791
133;Marasmius;45.3438;5.6180900000000005;2808;0.7;F_57;791
135;Marasmius;46.31673;6.31492;3105;0.7;F_57;791
136;Marasmius;46.30472;6.70437;2808;0.7;F_57;791
139;Marasmius;45.98468;5.13164;2985;0.7;F_57;791
140;Marasmius;45.25671;5.48644;2808;0.7;F_57;791
142;Marasmius;45.07672;5.47844;2985;0.7;F_57;791
143;Marasmius;45.85909;6.5454099999999995;2985;0.7;F_57;791
144;Marasmius;45.806999999999995;4.99598;2985;0.7;F_57;791
145;Marasmius;45.780570000000004;6.15393;3529;0.7;F_57;791
147;Marasmius;45.16381;5.60965;2808;0.7;F_57;791
149;Marasmius;45.43379;5.622330000000001;2985;0.7;F_57;791
151;Marasmius;45.34948;5.36282;2808;0.7;F_57;791
152;Marasmius;45.07382;5.60545;2808;0.7;F_57;791
153;Marasmius;45.43073;5.75014;3239;0.7;F_57;791
155;Marasmius;45.166709999999995;5.48243;3529;0.7;F_57;791
156;Marasmius;46.05744;5.91094;3529;0.7;F_57;791
157;Marasmius;46.40283;6.45043;2808;0.7;F_57;791
158;Marasmius;46.39883;6.58046;2808;0.7;F_57;791
163;Marasmius;44.80386;5.59293;2808;0.7;F_57;791
167;Marasmius;45.57649;6.9124300000000005;2808;0.7;F_57;791
173;Marasmius;45.169470000000004;5.35521;2808;0.7;F_57;791
176;Marasmius;45.712140000000005;5.2497300000000005;2808;0.7;F_57;791
185;Marasmius;45.4093;6.516719999999999;2985;0.7;F_57;791
186;Marasmius;45.62696;4.98949;2985;0.7;F_57;791
187;Marasmius;45.439479999999996;5.36665;2985;0.7;F_57;791
188;Marasmius;45.337540000000004;5.87329;3529;0.7;F_57;791
189;Marasmius;46.39467;6.71047;3529;0.7;F_57;791
193;Marasmius;45.32327;6.38352;2808;0.7;F_57;791
201;Marasmius;45.7095;5.37821;2808;0.7;F_57;791
208;Marasmius;46.06378;5.6523900000000005;3529;0.7;F_57;791
209;Marasmius;46.06673;5.5231;3529;0.7;F_57;791
210;Marasmius;46.406690000000005;6.32038;3529;0.7;F_57;791
215;Marasmius;45.26209;5.23156;2808;0.7;F_57;791
226;Marasmius;45.444590000000005;5.110930000000001;2985;0.7;F_57;791
235;Marasmius;45.340740000000004;5.7457;2985;0.7;F_57;791
237;Marasmius;45.6906;6.1488;3529;0.7;F_57;791
238;Marasmius;45.2538;5.61386;3529;0.7;F_57;791
240;Marasmius;45.97378;5.64806;3529;0.7;F_57;791
241;Marasmius;45.25947;5.35901;2808;0.7;F_57;791
246;Marasmius;45.86305;6.41665;2808;0.7;F_57;791
251;Marasmius;45.52949;5.37049;2808;0.7;F_57;791
253;Marasmius;44.63453;5.08059;5538;0.7;F_57;791
259;Marasmius;45.85497;6.67415;2985;0.7;F_57;791
260;Marasmius;44.98672;5.47446;2985;0.7;F_57;791
262;Marasmius;45.86688;6.28787;3529;0.7;F_57;791
269;Marasmius;45.976729999999996;5.5189699999999995;2808;0.7;F_57;791
276;Marasmius;44.9672;6.23508;2808;0.7;F_57;791
297;Marasmius;46.21477;6.698289999999999;2808;0.7;F_57;791
315;Marasmius;44.89948;5.34387;2985;0.7;F_57;791
