;genus;Latitude;Longitude;glc19SpId;code;eltoncode
0;Podarcis;42.467982;9.475129;29840;R_24;1046
1;Podarcis;42.712643;-0.053356;29843;R_24;1046
2;Podarcis;43.713115;7.28299;29843;R_24;1046
3;Podarcis;48.921391;-1.355833;29843;R_24;1046
4;Podarcis;47.613473;7.537775;29843;R_24;1046
5;Podarcis;47.877896;7.304005;29843;R_24;1046
6;Podarcis;48.796902;2.465532;29843;R_24;1046
7;Podarcis;47.212863;0.057215;29843;R_24;1046
8;Podarcis;42.006967;8.906414;29850;R_24;1046
9;Podarcis;42.712727;-0.052398;29843;R_24;1046
10;Podarcis;43.548996;3.907088;29843;R_24;1046
11;Podarcis;44.685589;-1.041698;29843;R_24;1046
12;Podarcis;43.403572;-1.651142;29843;R_24;1046
13;Podarcis;43.579734;4.541407;29843;R_24;1046
14;Podarcis;43.560438;3.275569;29843;R_24;1046
15;Podarcis;47.190616;-1.569382;29843;R_24;1046
16;Podarcis;44.022447;1.370544;29843;R_24;1046
17;Podarcis;42.864968;0.805274;29843;R_24;1046
18;Podarcis;43.59928;2.951511;29843;R_24;1046
19;Podarcis;48.43434;2.52682;29843;R_24;1046
20;Podarcis;47.23665;0.422;29843;R_24;1046
21;Podarcis;45.68693;6.27718;29843;R_24;1046
22;Podarcis;45.68312;6.40554;29843;R_24;1046
23;Podarcis;47.42718;5.05633;29843;R_24;1046
24;Podarcis;42.88376;-0.6086;29864;R_24;1046
25;Podarcis;45.8807;5.77259;29843;R_24;1046
26;Podarcis;42.49801;9.14072;29850;R_24;1046
27;Podarcis;45.28419;3.19133;29843;R_24;1046
28;Podarcis;45.2211;6.75994;29843;R_24;1046
29;Podarcis;48.5209;1.98435;29843;R_24;1046
30;Podarcis;45.36113;4.72446;29843;R_24;1046
31;Podarcis;43.25113;6.38523;29843;R_24;1046
32;Podarcis;45.70071;5.76357;29843;R_24;1046
33;Podarcis;47.23364;0.2899;29843;R_24;1046
34;Podarcis;44.95953;6.48849;29843;R_24;1046
35;Podarcis;46.87829;-2.19034;29843;R_24;1046
36;Podarcis;44.7756;6.6036;29843;R_24;1046
37;Podarcis;43.25113;-0.38523;29843;R_24;1046
38;Podarcis;47.17481;3.33007;29843;R_24;1046
39;Podarcis;47.19974;6.89826;29843;R_24;1046
40;Podarcis;45.30668;6.89347;29843;R_24;1046
41;Podarcis;44.92013;3.95045;29843;R_24;1046
42;Podarcis;47.42945;4.92372;29843;R_24;1046
43;Podarcis;41.68479;9.1764;29850;R_24;1046
44;Podarcis;45.7907;5.76807;29843;R_24;1046
45;Podarcis;45.78747;5.89671;29843;R_24;1046
46;Podarcis;47.38395;6.77896;29843;R_24;1046
47;Podarcis;47.83349;6.81093;29843;R_24;1046
48;Podarcis;42.97764;-0.49185;29843;R_24;1046
49;Podarcis;46.28176;-1.35304;29843;R_24;1046
50;Podarcis;47.53308;3.73104;29843;R_24;1046
51;Podarcis;44.04781;6.80737;29843;R_24;1046
52;Podarcis;47.66599;6.3988;29843;R_24;1046
53;Podarcis;43.57362;3.30938;29864;R_24;1046
54;Podarcis;48.4348;2.66201;29843;R_24;1046
55;Podarcis;42.13258;9.22356;29850;R_24;1046
56;Podarcis;43.04584;-1.1098;29843;R_24;1046
57;Podarcis;43.50415;-0.89508;29843;R_24;1046
58;Podarcis;49.33439;2.79367;29843;R_24;1046
59;Podarcis;46.0306;6.81532;29843;R_24;1046
60;Podarcis;45.19415;2.80898;29843;R_24;1046
61;Podarcis;44.69732;6.21957;29843;R_24;1046
62;Podarcis;49.31811;1.00594;29843;R_24;1046
63;Podarcis;48.34483;2.66259;29843;R_24;1046
64;Podarcis;46.88413;-2.05931;29843;R_24;1046
65;Podarcis;42.22216;9.23308;29850;R_24;1046
66;Podarcis;48.21296;-0.16456;29843;R_24;1046
67;Podarcis;47.52983;-1.72097;29843;R_24;1046
68;Podarcis;44.70438;5.9673;29843;R_24;1046
69;Podarcis;48.57949;0.08463;29843;R_24;1046
70;Podarcis;41.96727;8.96459;29850;R_24;1046
71;Podarcis;45.42067;6.13351;29843;R_24;1046
72;Podarcis;45.6075;5.8873;29843;R_24;1046
73;Podarcis;47.65794;6.66501;29843;R_24;1046
74;Podarcis;46.13295;6.43346;29843;R_24;1046
75;Podarcis;47.85329;6.14313;29843;R_24;1046
76;Podarcis;44.50982;6.46071;29843;R_24;1046
77;Podarcis;49.183214;6.900496;29843;R_24;1046
78;Podarcis;43.619583;3.85653;29843;R_24;1046
79;Podarcis;48.04011;-4.739148;29843;R_24;1046
80;Podarcis;48.855123;-2.997041;29843;R_24;1046
81;Podarcis;44.27901;4.81689;29843;R_24;1046
82;Podarcis;43.91909;4.80543;29843;R_24;1046
83;Podarcis;43.16126;6.37996;29843;R_24;1046
84;Podarcis;43.63437;5.54006;29898;R_24;1046
85;Podarcis;43.55487;5.04148;29843;R_24;1046
86;Podarcis;44.14612;6.56368;29843;R_24;1046
87;Podarcis;43.99698;5.43149;29843;R_24;1046
88;Podarcis;43.37008;5.28166;29843;R_24;1046
89;Podarcis;43.36165;5.65139;29843;R_24;1046
90;Podarcis;44.77964;6.47733;29843;R_24;1046
91;Podarcis;43.80815;5.79644;29843;R_24;1046
92;Podarcis;43.75479;7.40942;29843;R_24;1046
93;Podarcis;44.37286;4.56885;29864;R_24;1046
94;Podarcis;43.6283;5.78767;29843;R_24;1046
95;Podarcis;44.28101;4.69163;29843;R_24;1046
96;Podarcis;43.67936;7.03114;29843;R_24;1046
97;Podarcis;44.18902;4.81401;29843;R_24;1046
98;Podarcis;43.7243;5.54405;29898;R_24;1046
99;Podarcis;44.09904;4.81115;29843;R_24;1046
100;Podarcis;44.44094;5.70201;29843;R_24;1046
101;Podarcis;43.6747;7.15495;29843;R_24;1046
102;Podarcis;44.43106;6.07868;29843;R_24;1046
103;Podarcis;43.27749;5.40116;29843;R_24;1046
104;Podarcis;43.99414;5.5561;29843;R_24;1046
105;Podarcis;43.54148;5.6597;29843;R_24;1046
106;Podarcis;43.27469;5.52422;29843;R_24;1046
107;Podarcis;43.53176;6.03048;29843;R_24;1046
108;Podarcis;44.0562;6.55805;29843;R_24;1046
109;Podarcis;43.78649;6.54127;29843;R_24;1046
110;Podarcis;43.85442;7.16803;29843;R_24;1046
111;Podarcis;43.74113;4.67568;29843;R_24;1046
112;Podarcis;44.03885;7.0566;29843;R_24;1046
113;Podarcis;43.91696;4.9299;29843;R_24;1046
114;Podarcis;43.55247;5.16515;29843;R_24;1046
115;Podarcis;44.00906;4.80829;29843;R_24;1046
116;Podarcis;44.24388;6.31916;29843;R_24;1046
117;Podarcis;43.88788;6.17392;29843;R_24;1046
118;Podarcis;44.10908;7.56203;29843;R_24;1046
119;Podarcis;44.86554;6.60938;29843;R_24;1046
120;Podarcis;43.74297;4.55159;29843;R_24;1046
121;Podarcis;43.93946;7.29897;29843;R_24;1046
122;Podarcis;44.86136;6.73584;29843;R_24;1046
123;Podarcis;43.43088;6.39581;29843;R_24;1046
124;Podarcis;43.63719;5.41623;29843;R_24;1046
125;Podarcis;43.72982;5.296;29843;R_24;1046
126;Podarcis;43.91469;5.05435;29843;R_24;1046
127;Podarcis;44.0747;5.93447;29843;R_24;1046
128;Podarcis;44.6815;6.7239;29843;R_24;1046
129;Podarcis;44.77143;6.72986;29843;R_24;1046
130;Podarcis;44.67718;6.84994;29843;R_24;1046
131;Podarcis;44.68567;6.59784;29843;R_24;1046
132;Podarcis;44.76264;6.98232;29843;R_24;1046
133;Podarcis;44.7671;6.8561;29843;R_24;1046
134;Podarcis;44.85703;6.86228;29843;R_24;1046
135;Podarcis;43.37935;4.78852;29898;R_24;1046
136;Podarcis;43.65117;4.67305;29898;R_24;1046
137;Podarcis;43.89483;5.9252199999999995;29843;R_24;1046
138;Podarcis;43.7243;5.54405;29843;R_24;1046
139;Podarcis;44.34454;5.94845;29843;R_24;1046
140;Podarcis;43.90703;5.4276599999999995;29843;R_24;1046
141;Podarcis;44.257870000000004;5.81862;29843;R_24;1046
142;Podarcis;43.727129999999995;5.420030000000001;29843;R_24;1046
143;Podarcis;44.26101;5.69344;29843;R_24;1046
144;Podarcis;43.90419;5.55207;29843;R_24;1046
145;Podarcis;43.75974;7.2854600000000005;29843;R_24;1046
146;Podarcis;43.66989;7.278739999999999;29843;R_24;1046
147;Podarcis;44.434490000000004;5.95314;29843;R_24;1046
148;Podarcis;43.73236;5.17195;29843;R_24;1046
149;Podarcis;43.81708;5.42384;29843;R_24;1046
150;Podarcis;43.97027;6.42795;29843;R_24;1046
151;Podarcis;44.77964;6.47733;29843;R_24;1046
152;Podarcis;45.444590000000005;5.110930000000001;29843;R_24;1046
153;Podarcis;45.54118;4.73006;29898;R_24;1046
154;Podarcis;45.8807;5.77259;29898;R_24;1046
155;Podarcis;45.424170000000004;6.005730000000001;29898;R_24;1046
156;Podarcis;46.147420000000004;5.91571;29898;R_24;1046
157;Podarcis;43.30401;2.81524;29843;R_24;1046
158;Podarcis;46.52715;5.02236;29898;R_24;1046
159;Podarcis;45.62915;4.861190000000001;29898;R_24;1046
160;Podarcis;46.17816;4.23154;29843;R_24;1046
161;Podarcis;44.82289;4.58141;29898;R_24;1046
162;Podarcis;43.21027;2.07767;29843;R_24;1046
163;Podarcis;43.30022;2.07623;29843;R_24;1046
164;Podarcis;45.98704;5.00251;29898;R_24;1046
165;Podarcis;45.55038;3.96125;29898;R_24;1046
166;Podarcis;44.36213;5.19611;29898;R_24;1046
167;Podarcis;45.7907;5.76807;29898;R_24;1046
168;Podarcis;44.72208;5.21016;29843;R_24;1046
169;Podarcis;44.449529999999996;5.32522;29898;R_24;1046
170;Podarcis;44.07128;6.05922;29898;R_24;1046
171;Podarcis;43.12285;2.44745;29843;R_24;1046
172;Podarcis;46.99505;2.80261;29843;R_24;1046
173;Podarcis;46.9952;2.9342;29843;R_24;1046
174;Podarcis;47.26484;2.6693700000000002;29843;R_24;1046
175;Podarcis;47.08508;2.80228;29843;R_24;1046
176;Podarcis;46.815129999999996;3.0655799999999997;29843;R_24;1046
177;Podarcis;46.815129999999996;2.9344200000000003;29843;R_24;1046
178;Podarcis;47.26529;2.93387;29843;R_24;1046
179;Podarcis;47.26514;2.80162;29843;R_24;1046
180;Podarcis;46.81498;2.80327;29843;R_24;1046
181;Podarcis;47.354859999999995;2.66882;29843;R_24;1046
182;Podarcis;46.90517;2.93431;29843;R_24;1046
183;Podarcis;46.90502;2.80294;29843;R_24;1046
184;Podarcis;47.085229999999996;2.9340900000000003;29843;R_24;1046
185;Podarcis;47.44488;2.66826;29843;R_24;1046
186;Podarcis;46.90517;3.06569;29843;R_24;1046
187;Podarcis;47.175259999999994;2.93398;29843;R_24;1046
188;Podarcis;47.17511;2.80195;29843;R_24;1046
189;Podarcis;47.35516;2.8012900000000003;29843;R_24;1046
190;Podarcis;48.85845;5.52186;29843;R_24;1046
191;Podarcis;48.86388;0.75062;29843;R_24;1046
192;Podarcis;43.12425;2.9386;29843;R_24;1046
193;Podarcis;49.14913;1.83496;29843;R_24;1046
194;Podarcis;44.294;3.0626599999999997;29843;R_24;1046
195;Podarcis;47.42476;0.81107;29843;R_24;1046
196;Podarcis;45.06426;5.98639;29843;R_24;1046
197;Podarcis;48.88344;2.38638;29843;R_24;1046
198;Podarcis;45.806999999999995;4.99598;29843;R_24;1046
199;Podarcis;44.86136;-0.7358399999999999;29843;R_24;1046
200;Podarcis;48.07521;3.2014099999999996;29843;R_24;1046
201;Podarcis;44.50982;6.46071;29843;R_24;1046
202;Podarcis;44.513690000000004;6.33502;29843;R_24;1046
203;Podarcis;44.61772;5.83661;29843;R_24;1046
204;Podarcis;44.52775;5.83209;29843;R_24;1046
205;Podarcis;44.61441;5.9625699999999995;29843;R_24;1046
206;Podarcis;44.70438;5.9673;29843;R_24;1046
207;Podarcis;44.70769;5.84114;29843;R_24;1046
208;Podarcis;43.45452;5.532109999999999;29843;R_24;1046
209;Podarcis;43.3646;5.52816;29843;R_24;1046
210;Podarcis;47.23665;0.42200000000000004;29843;R_24;1046
211;Podarcis;47.33478;0.8147399999999999;29843;R_24;1046
212;Podarcis;47.33719;0.9471200000000001;29843;R_24;1046
213;Podarcis;47.332209999999996;0.68238;29843;R_24;1046
214;Podarcis;47.24946;1.0827200000000001;29843;R_24;1046
215;Podarcis;47.50945;0.54178;29843;R_24;1046
216;Podarcis;47.1548;0.82205;29843;R_24;1046
217;Podarcis;47.15224;0.69012;29843;R_24;1046
218;Podarcis;46.887190000000004;0.96419;29843;R_24;1046
219;Podarcis;47.14953;0.55821;29843;R_24;1046
220;Podarcis;47.2472;0.9505600000000001;29843;R_24;1046
221;Podarcis;47.42718;0.9436700000000001;29843;R_24;1046
222;Podarcis;47.06225;0.69397;29843;R_24;1046
223;Podarcis;47.42945;1.07628;29843;R_24;1046
224;Podarcis;47.4104;0.14827;29843;R_24;1046
225;Podarcis;43.891420000000004;6.049580000000001;29843;R_24;1046
226;Podarcis;43.9778;6.17893;29843;R_24;1046
227;Podarcis;43.887879999999996;6.17392;29843;R_24;1046
228;Podarcis;43.884190000000004;6.29824;29843;R_24;1046
229;Podarcis;44.15766;6.18899;29843;R_24;1046
230;Podarcis;44.06773;6.18395;29843;R_24;1046
231;Podarcis;43.797959999999996;6.1689300000000005;29843;R_24;1046
232;Podarcis;45.45786;4.21558;29843;R_24;1046
233;Podarcis;45.81801;4.2235;29843;R_24;1046
234;Podarcis;45.546440000000004;4.34569;29843;R_24;1046
235;Podarcis;46.089459999999995;4.1001199999999995;29843;R_24;1046
236;Podarcis;45.086859999999994;4.970280000000001;29843;R_24;1046
237;Podarcis;45.62462;5.11779;29843;R_24;1046
238;Podarcis;46.00059;3.9691199999999998;29843;R_24;1046
239;Podarcis;45.5479;4.21755;29843;R_24;1046
240;Podarcis;45.63794;4.219530000000001;29843;R_24;1046
241;Podarcis;45.82447;3.1932;29843;R_24;1046
242;Podarcis;45.17905;4.84618;29843;R_24;1046
243;Podarcis;45.08208;5.22438;29843;R_24;1046
244;Podarcis;43.55924;4.7941199999999995;29843;R_24;1046
245;Podarcis;43.649190000000004;4.79694;29843;R_24;1046
246;Podarcis;43.561209999999996;4.6704300000000005;29843;R_24;1046
247;Podarcis;43.46929;4.79131;29843;R_24;1046
248;Podarcis;43.46718;4.91481;29843;R_24;1046
249;Podarcis;43.55487;5.04148;29843;R_24;1046
250;Podarcis;43.647079999999995;4.92082;29843;R_24;1046
251;Podarcis;43.55713;4.91781;29843;R_24;1046
252;Podarcis;45.87055;6.15908;29843;R_24;1046
253;Podarcis;42.84667;9.43272;29850;R_24;1046
254;Podarcis;48.41445;2.501848;29843;R_24;1046
255;Podarcis;44.787679;-0.577019;29843;R_24;1046
256;Podarcis;43.893205;5.377289;29843;R_24;1046
257;Podarcis;43.5895;7.02482;29843;R_24;1046
258;Podarcis;43.59401;6.90119;29843;R_24;1046
259;Podarcis;43.618140000000004;6.15899;29843;R_24;1046
260;Podarcis;43.68388;6.907310000000001;29843;R_24;1046
261;Podarcis;44.70092;6.09344;29843;R_24;1046
262;Podarcis;43.94429;7.1746;29843;R_24;1046
263;Podarcis;43.77375;6.91345;29843;R_24;1046
264;Podarcis;44.0434;6.932;29843;R_24;1046
265;Podarcis;43.77814;6.78941;29843;R_24;1046
266;Podarcis;44.03885;7.0566;29843;R_24;1046
267;Podarcis;44.13329;6.938219999999999;29843;R_24;1046
268;Podarcis;43.94897;7.050210000000001;29843;R_24;1046
269;Podarcis;44.12874;7.06302;29843;R_24;1046
270;Podarcis;43.6747;7.15495;29843;R_24;1046
271;Podarcis;43.679359999999996;7.03114;29843;R_24;1046
272;Podarcis;44.03416;7.181189999999999;29843;R_24;1046
273;Podarcis;43.769220000000004;7.03747;29843;R_24;1046
274;Podarcis;43.13565;-1.11619;29864;R_24;1046
275;Podarcis;48.96932;1.8389900000000001;29843;R_24;1046
276;Podarcis;48.96792;1.7024299999999999;29843;R_24;1046
277;Podarcis;43.91469;5.05435;29843;R_24;1046
278;Podarcis;43.91227;5.1788;29843;R_24;1046
279;Podarcis;44.00693;4.93295;29843;R_24;1046
280;Podarcis;44.0969;4.936;29843;R_24;1046
281;Podarcis;43.916959999999996;4.9299;29843;R_24;1046
282;Podarcis;43.43088;6.39581;29843;R_24;1046
283;Podarcis;43.341;6.39051;29843;R_24;1046
284;Podarcis;43.42694;6.5191300000000005;29843;R_24;1046
285;Podarcis;44.23603;6.56933;29843;R_24;1046
286;Podarcis;44.23189;6.694389999999999;29843;R_24;1046
287;Podarcis;44.24759;6.19405;29843;R_24;1046
288;Podarcis;44.24388;6.31916;29843;R_24;1046
289;Podarcis;44.33753;6.19912;29843;R_24;1046
290;Podarcis;44.16122;6.06406;29843;R_24;1046
291;Podarcis;44.42375;6.32972;29843;R_24;1046
292;Podarcis;43.80815;5.7964400000000005;29843;R_24;1046
293;Podarcis;44.34111;6.07379;29843;R_24;1046
294;Podarcis;44.164640000000006;5.9391099999999994;29843;R_24;1046
295;Podarcis;43.87639;6.54684;29843;R_24;1046
296;Podarcis;44.05208;6.68272;29843;R_24;1046
297;Podarcis;43.95792;6.801360000000001;29843;R_24;1046
298;Podarcis;44.25116;6.068919999999999;29843;R_24;1046
299;Podarcis;44.33382;6.32443;29843;R_24;1046
300;Podarcis;44.060190000000006;6.43337;29843;R_24;1046
301;Podarcis;43.58484;7.148439999999999;29843;R_24;1046
302;Podarcis;43.49499;7.14195;29843;R_24;1046
303;Podarcis;43.49964;7.01852;29843;R_24;1046
304;Podarcis;48.974920000000004;2.9317;29843;R_24;1046
305;Podarcis;49.36518;-0.7863399999999999;29843;R_24;1046
306;Podarcis;42.80186;-0.35906;29843;R_24;1046
307;Podarcis;42.8878;-0.48644;29843;R_24;1046
308;Podarcis;42.883759999999995;-0.6086;29843;R_24;1046
309;Podarcis;42.9736;-0.6142;29843;R_24;1046
310;Podarcis;42.797959999999996;-0.48105;29843;R_24;1046
311;Podarcis;42.87958;-0.73075;29843;R_24;1046
312;Podarcis;42.793929999999996;-0.6030300000000001;29843;R_24;1046
